claimskg_author;type;kata_author
Steve Doocy;;
Richard Franklin III;;
Jeff Greene;;
Pat Stevens;;
Minka Kelly;;
James Langevin;;
Duane Hall;;
American Crossroads;;
Anonymous GOP critics;;
Environment New Jersey;;
Tom Graves;;
Miro Weinberger;;
Catherine McKenna;;
Clean Virginia;;
Gérard Deltell;;
Alexander Strenger;;
Jagmeet Singh;;
Andrew Scheer;;
Tom Wolf;;
Kim Rudd;;
Billy Richardson;;
Marco Rubio's heckler;;
Derrick Crowe;;
Greg Gutfeld;;
Social Media;;
Betsy DeVos;;
Elizabeth May;;
No on 67;;
Zephyr Teachout;;
Pat Toomey;;
Justin Trudeau;;
State Farm Insurance;;
Michael McCaul;;
Tom Mulcair;;
Mike Huebsch;;
Karina Wood;;
Stephen Harper;;
Russ Girling;;
Mark Warner;;
Seneca Jones;;
Chris Murphy;;
Roger Williams;;
Wisconsin Manufacturers and Commerce;;
Wayne Powell;;
Ron Ramsey;;
Jack Kingston;;
Amanda Fritz;;
Mary Nolan;;
Wisconsin Sierra Club;;
Jeff Kruse;;
Kathie Tovo;;
Rick Hardcastle;;
Chris Dorworth;;
John Buss;;
David Prosser;;
Ohio Coal Association;;
General Beauregard Lee;;
Jamie Radtke;;
DeKalb County;;
George Packer;;
Carol Browner;;
Georgia politicians;;
Rahm Emanuel;;
Scott Maddox;;
Bob McDonnell;;
Mary Matalin;;
Kimberly Guilfoyle;;
House Republican Conference;;
