author,type
Bob Gibbs,Republican
Don Willett,Republican
For Our Daughters RI,Organization
Shawn Lindsay,Republican
Alison Littell McHose,Republican
Duffel Blog,Organization
Glenn Greenwald,Person
Kate Obenshain,Republican
Shenggen Fan,Person
Joe Atkins,Democrat
John Barge,Republican
Neil Cavuto,Person
Shelley Moore Capito,Republican
Eric Greitens,Republican
Kevin Coughlin,Republican
Joseph Cryan,Democrat
John Carter,Republican
Dawson Hodgson,Republican
Jeff Morales,Person
Callista Gingrich,Republican
Ted Gatsas,Republican
Mark Johnson,Person
Glenn Hegar,Republican
Stacy White,Republican
Marcia Fudge,Democrat
Richard Shelby,Republican
Tennessee Democratic Party,Democrat
Robert Singer,Republican
Mark Neumann,Republican
Joe Theismann,Person
Ron Davis,Democrat
Barbara Cargill,Republican
Brian Deese,Democrat
Portland Association of Teachers,Organization
Regina Benjamin,Person
Dennis Algiere,Republican
Gerald Daugherty,Republican
Evan Goyke,Democrat
Georgia Department of Transportation,Organization
Mark Miller,Democrat
Georgia Farm Bureau,Organization
Thurbert Baker,Democrat
J.D. Alexander,Republican
Jon Keyser,Republican
Maurice Thompson,Person
Alex McMurtrie Jr.,Democrat
Tim Ryan,Democrat
Jeff Miller,Republican
Mike Collins,Republican
Pamela Geller,Person
Represent.us,Organization
Terry Gorman,Journalist
Josh Hawley,Republican
Dave Hunt,Democrat
Mike Polensek,Democrat
Rebecca Blank,Democrat
Kitty Rhoades,Person
Jim Petro,Republican
Ro Khanna,Democrat
Sheila Jackson Lee,Democrat
Richard Burr,Republican
Democratic Party of Virginia,Democrat
Sid Miller,Republican
Ron Wyden,Democrat
Steven Landes,Republican
Credo Action,Organization
Restore Our Future,Organization
Jay Goyal,Democrat
Greg Steube,Republican
Donna Garner,Republican
Michelle Rehwinkel Vasilinda,Democrat
Missouri Department of Economic Development,Organization
Joe Pitts,Republican
Helio Melo,Democrat
Kris Jordan,Republican
Chris Koster,Democrat
Carly Fiorina,Republican
